address,japanese,korean,length
0x0003FBD5,賍矮瑙,장물작음마노,18
0x0003FE68,冐籤碚,번역 불가(깨진 문자열),31
0x0003FFDA,鉗裴簽,번역 불가(깨진 문자열),31
0x000401BE,蹂裲鰤,번역 불가(깨진 문자열),31
0x00040C93,送メ＆,번역 불가(깨진 문자열),31
0x00040D18,負麿勳,번역 불가(깨진 문자열),31
0x00040FE8,屏療蠑,번역 불가(깨진 문자열),31
0x00041040,投李擒,번역 불가(깨진 문자열),31
0x0004128B,鰄肬胙,번역 불가(깨진 문자열),31
0x00041B62,肆粮鴿,번역 불가(깨진 문자열),31
0x000424FC,贇鴟鳬,번역 불가(깨진 문자열),31
0x00043852,剌鵠擇,번역 불가(깨진 문자열),31
0x000438C8,剽硴洳,번역 불가(깨진 문자열),31
0x00043A4D,檮到末,번역 불가(깨진 문자열),31
0x00043B31,磅靼蓙,번역 불가(깨진 문자열),31
0x00043C33,葢碎跂,번역 불가(깨진 문자열),31
0x00043C80,礦粫肆,번역 불가(깨진 문자열),31
0x00043D0D,醤鯑猜,번역 불가(깨진 문자열),31
0x000441B5,裙跫聹,번역 불가(깨진 문자열),31
0x00046172,ａ＝＝＝＝＝＝硫,ａ＝＝＝＝＝＝硫,24
0x0004628E,蓴釵蟠,번역 불가(깨진 문자열),31
0x0004629F,贓逋閑,번역 불가(깨진 문자열),31
0x00046349,泓葬国泊葬窓株勍,泓葬国泊葬窓株勍,24
0x000472BB,粲鞣鞆,문자 깨짐,13
0x0004792A,此磑肆,문자 깨짐,13
0x000480A1,砒玻粨,문자 깨짐,13
0x000485D4,袱冐贍,문자 깨짐,13
0x00049D85,璞鳬萵,문자 깨짐,13
0x0004AFAF,袮碌粨,문자 깨짐,13
0x0004B1F0,竟玻蓼,문자 깨짐,13
0x0004D10E,裃裨矼,문자 깨짐,13
0x0004D6AB,聳葢糯,문자 깨짐,13
0x0004DC32,銖踟醫,문자 깨짐,13
0x0004E20E,李尠畠,문자 깨짐,13
0x0004E4B7,荵潔悋,문자 깨짐,13
0x0004E89F,遵÷ю,문자 깨짐,13
0x0004E9A1,棊鋳等,문자 깨짐,13
0x0004EB0A,搏渚傷,문자 깨짐,13
0x0004EC00,汳諮律,문자 깨짐,13
0x0004ECE4,÷÷鎌,문자 깨짐,13
0x0004ED4F,着÷′,문자 깨짐,13
0x0004EEC8,亦数圍,문자 깨짐,13
0x0004EF9C,鞜琅萬,문자 깨짐,13
0x0004F011,郛梹張,전개,6
0x0004F164,槍ｅ是,창병,6
0x0004F196,項÷％,항목,6
0x0004F5F5,囁拷健燈博給穀妛,囁拷健燈博給穀妛,24
0x0004F798,譜÷央,중앙,6
0x0004FA58,絡鵠涎,연락,6
0x0004FB1E,摶酎裡,포위,6
0x0004FF27,÷♀坎,습격,6
0x00050099,嚊÷亜,아군,6
0x0005013E,項≠埓,진지,6
0x00050189,桾署圻,부대 배치,13
0x0005029F,囁褐未,은폐,6
0x00050500,搗視騒,정찰,6
0x00050583,剌助屓,지원,6
0x000505BB,盡逗＝,전멸,6
0x00050964,沱悍擇,선택,6
0x00050AF9,剩暑鎗,돌격창,9
0x00050DEF,膜燕慍,방어막,9
0x00055F75,矣瑕鞜,약점,6
0x00056ADE,粐蓙鉗鳬鳬鳧韈鉗粐珎,粐蓙鉗鳬鳬鳧韈鉗粐珎,30
0x0005951E,聶裃粨,장비,6
0x0005B3B1,將著劒,장검,6
0x0005B820,旧名鞴,옛 이름의 풀무,20
0x0005BBEF,剄湯蜜,목베는 뜨거운 꿀,23
0x0005C803,翅嚆慴,날개의 전투 함성,23
0x0005C8C8,椢剪乘,방패 베기 돌격,20
0x0005CAD0,粡齏鱆,기장과 젓갈의 문어,26
0x0005CCE8,砒籤琲,비소의 제비뽑기 구슬,29
0x0005CD04,酣泱悛,취한 넓은 물결,20
0x0005CD61,粢裘顆,제사 곡식의 털가죽,26
0x0005CE7A,粐裔硅,겨의 후예 규석,20
0x0005D88A,肆蒿襃,쑥을 베푸는 포상,23
0x0005E580,袵跏慣,옷깃의 가부좌 습관,26
0x0005E8BD,悧悒屬,영리한 근심의 속박,26
0x0005EB0B,聰砠袰,총명한 돌무더기 옷자락,32
0x000606F8,葫打貔,마늘 타격 비휴,20
0x000613F9,顆萬瞑,알갱이의 만 개 명상,27
0x00061E4E,佳逐箴,아름다운 추격 잠언,26
0x00062AB1,盪攸聆,흔드는 여유의 청취,26
0x0006388F,袒跼鱆,웃통 벗은 웅크림 문어,30
0x00063C26,摎撼劒,뒤얽힌 강타의 검,23
0x00069E47,鞣珞鈿,무두질한 구슬 장식비녀,32
0x0006B697,筰囹垤,작령질,9
0x0006B702,罨囹垓,엄령해,9
0x0006B88C,蓆耡胛,석서갑,9
0x00070253,聶裘蒿,섭구호,9
0x00070D8A,鰡珀碣,류박갈,9
0x000713D2,葯籬銜,약리함,9
0x00074469,韋趙蓖,위조비,9
0x00074882,韜瞼鴒,도검령,9
0x000766A3,鵄肄蠢,치이준,9
0x000767AB,鴦籐璢,앙등류,9
0x0007685C,鴉蕣貘,아순맥,9
0x0007D6F5,肓鞣粮,황유량,9
0x0007D83D,矣珞頷,의락함,9
0x0007D959,璢蒟頌,류구송,9
0x0007E0E7,裝裴鈞,장배균,9
0x0007E6B0,鈑跌鞨,판질갈,9
0x0007EAEB,粡鈬蒡,동탁방,9
0x0007EE76,瑯鉗頌,랑겸송,9
0x0007F179,肄裹鴦,이과앙,9
0x0007F296,鞣矼鈑,유강판,9
0x0007F88F,鈔珞葢,기습 공격,13
0x0007FAF7,鞨瑯鈬,방어 진형,13
0x0007FB01,璢聽鉐,정찰 명령,13
0x0007FCB4,粫趙琥,병력 집결,13
0x0007FD16,籖珮矚,포위 전술,13
0x00081687,癶＞惻,후퇴,6
0x00081977,霑揉＄,보급 요청,13
0x00081B11,鱚籬粳,공성 작전,13
0x00081C25,盥陪遠,원거리 사격,16
0x00081C70,郤普侃,돌격 명령,13
0x0008316F,釿琅鴆,매복,6
0x00086CD4,糂韃蠧,기병 돌파,13
0x00087107,糶霖鞜,전선 강화,13
0x0008ACCD,聿葯胝,치료 지원,13
0x0008AFF2,聚砌韭,진지 구축,13
0x0008B1F2,褂鱠簽,특수 부대,13
0x0008E83B,鴆鱸鋩,독화살 공격,16
0x0008E892,粃聆粹,정예 병사,13
0x0008EA0C,赱矣釶,신속 이동,13
0x0008EBDE,釶肛鉋,무기 제작,13
0x0008EE92,鱚裴竟,번역 불가,13
0x000904E1,鱧赱瑟,번역 불가,13
0x00090828,韃蓙鴃,번역 불가,13
0x00090AB1,趾矮蓐,번역 불가,13
0x00091B1F,褄瑶顫,번역 불가,13
0x00091CF1,痩蕩峩,번역 불가,13
0x00091DFA,裙肄糺,번역 불가,13
0x00093629,葆頸鉅,번역 불가,13
0x00093B13,珮珮鉚,번역 불가,13
0x000950A2,棔嚶哀,번역 불가,13
0x000955C2,赱裼褌,번역 불가,13
0x000956F7,鱧蓚鳬,번역 불가,13
0x000968D2,礦赭褥,번역 불가,13
0x00096998,囮爆昼,번역 불가,13
0x00096B7E,磑葩肬,번역 불가,13
0x00096BF9,釟砒跟,번역 불가,13
0x00096D7D,鱚鴦釉,번역 불가,13
0x00098A0D,鱠矣蓆,번역 불가,13
0x000993EA,鈔砌鴪,번역 불가,13
0x0009A36A,鞣矼鴃,번역 불가,13
0x0009BCC9,鱶聽鴆,원문 손상,13
0x0009BCE7,鱸萵粹,원문 손상,13
0x0009DDD5,韈韋蓆,해독 불가,13
0x0009E46B,鱶韆襁,해독 불가,13
0x0009E482,矣鴃蓆,해독 불가,13
0x0009EC1D,跖袍胛,해독 불가,13
0x0009F2B1,裔矍銹,해독 불가,13
0x0009F302,鞜琅銖,해독 불가,13
0x000A14F5,鱸鳬韜,해독 불가,13
0x000A4C48,豸枚尚,해독 불가,13
0x000A4FBD,鮟嚶糞,해독 불가,13
0x000A5004,箙恊隆,해독 불가,13
0x000A6219,梺荘岫,해독 불가,13
0x000A7100,琅韈鴟,해독 불가,13
0x000A7943,琅肄頏,해독 불가,13
0x000A854E,珞粢銕,해독 불가,13
0x000A8A00,投鰹勸,해독 불가,13
0x000A8C47,豼搴治,해독 불가,13
0x000A9CD8,郛搶崕,해독 불가,13
0x000AAEC3,嚮ヤ拳,해독 불가,13
0x000AB29B,尅旧硲,해독 불가,13
0x000AB33D,嚴滑頗,해독 불가,13
0x000AB7E3,落件未,판독 불가(깨진 텍스트),31
0x000AC52E,棘剱弌,판독 불가(깨진 텍스트),31
0x000AD0C2,沱撈洟,판독 불가(깨진 텍스트),31
0x000B0E15,篌刎奥,판독 불가(깨진 텍스트),31
0x000B2024,專藻劼,판독 불가(깨진 텍스트),31
0x000B2C1B,矗肆鴈,판독 불가(깨진 텍스트),31
0x000B5FB1,珞玻糲,판독 불가(깨진 텍스트),31
0x000B620F,赱玻肄,판독 불가(깨진 텍스트),31
0x000B6242,鈞粃粭,균비합,9
0x000B6275,鱆蓙蒿,장좌호,9
0x000B62C2,趺韋裔,부위예,9
0x000B6DC5,←踵篷,←종봉,9
0x000B6E8F,笄愿肓,계0x000B7D0x000B7DF8,泛
0x000B7DF8,泛沾棔,판독 불가(깨진 텍스트),31
0x000B7EC5,沮惧惧惧惧惧惧悵,원문 깨짐(해독 불가),28
0x000B8D3C,珞蒹裨,판독 불가(깨진 텍스트),31
0x000B8DA3,砌聿韵,판독 불가(깨진 텍스트),31
0x000B8E09,矮聽跪,판독 불가(깨진 텍스트),31
0x000B8E6F,矣粐跛,판독 불가(깨진 텍스트),31
0x000B8FA2,矜矼跋,판독 불가(깨진 텍스트),31
0x000B9009,珮砒鴃,판독 불가(깨진 텍스트),31
0x000B906F,珀砌韲,판독 불가(깨진 텍스트),31
0x000B920A,砒跖鴆,판독 불가(깨진 텍스트),31
0x000B9270,矼褂韲,판독 불가(깨진 텍스트),31
0x000B92D6,珞裹裲,락과량,9
0x000B93A3,矣砌齏,의체제,9
0x000B940A,珮肄頏,패이항,9
0x000BA310,摎擧濤,교거도,9
0x000BA376,髄理密,수리밀,9
0x000BA3A8,梺漠沽,하막고,9
0x000BA3DB,剏送剩,창송잉,9
0x000BAD3C,棍悚撥,곤송발,9
0x000BD02C,悁覧李,연람리,9
0x000BD72A,悁劍屐,연검극,9
0x000C0320,撥囮圄,발와어,9
0x000C0453,悁劔剱,연검검,9
0x000C0553,悍劍囿,한검유,9
0x000C05B9,棡囮囿,강와유,9
0x000C061F,撓劍劈,요검벽,9
0x000C0685,沮尹屓,저윤희,9
0x000C0785,撥劍屐,발검극,9
0x000C0BF9,插総侃,삽총간,9
0x000C0C14,東助津,동조진,9
0x000C0C61,暑杲霹,서고벽,9
0x000C0CDF,賜児丙,번역 불가,13
0x000C0D2B,嵩椙恍,번역 불가,13
0x000C0D44,柾博據,번역 불가,13
0x000C0DE5,籌蒻跌,번역 불가,13
0x000C0E10,藻卵墟,번역 불가,13
0x000C0E74,髮貯兆,번역 불가,13
0x000C0EC5,末沫払,번역 불가,13
0x000C0EDB,迫藍埃,번역 불가,13
0x000C0F2B,漠蘭楮,번역 불가,13
0x000C0F40,沫剿葎,번역 불가,13
0x000C100C,撕悁垓,번역 불가,13
0x000C1072,屁悁楮,번역 불가,13
0x000C10C1,撈悃屐,번역 불가,13
0x000C2927,矣粫鴈,번역 불가,13
0x000C36B5,珞肄韲,번역 불가,13
0x000C3B7E,珮粤銕,번역 불가,13
0x000C4756,韈鉞裨,번역 불가,13
0x000C4A23,珮粤跛,번역 불가,13
0x000C4FB5,惧椌泪,번역 불가,13
0x000C7694,死÷←,사망,6
0x000C76C7,逗÷脅,판독 불가,13
0x000C76FA,逗÷特,판독 불가,13
0x000C8AC9,糴粃瞑,판독 불가,13
0x000C8B41,瞼瑣趁,판독 불가,13
0x000C8D45,鰾裲糘,판독 불가,13
0x000C8D55,莽褫跣,판독 불가,13
0x000C9742,粮袙鴒,판독 불가,13
0x000C9888,趁裄糲,판독 불가,13
0x000C9C84,襃趁錮,판독 불가,13
0x000C9CFF,韋裄跚,판독 불가,13
0x000CA4A6,耜銖瞿,판독 불가,13
0x000CA7BF,袱肚跚,판독 불가,13
0x000CA956,葢粳裙,판독 불가,13
0x000CAA21,粡肆鉞,판독 불가,13
0x000CAAED,跋蓙釟,판독 불가,13
0x000CABB9,跏蓍猴,판독 불가,13
0x000CAF6B,珞韆琲,판독 불가,13
0x000CB038,鴃贖蕘,판독 불가,13
0x000CB341,趺粫籏,판독 불가,13
0x000CB606,跟蓊肭,판독 불가,13
0x000CB6D2,砒裹鴾,비과모,9
0x000CC993,肅聶蓊,숙섭옹,9
0x000CD0B8,裹籥粱,과약량,9
0x000CF837,珮肓鳰,패황입,9
0x000D3780,齎粱獺,재량달,9
0x000D3A1D,鞨聰韭,갈총구,9
0x000D3AB5,釋碌瞹,석록애,9
0x000D3D1C,赳蓍韶,규시소,9
0x000D4AF8,鳧聹玳,부녕대,9
0x000D5BE4,珥跏鴆,이가짐,9
0x000D5E4C,珥趾鴆,이지짐,9
0x000D631C,珀蓙韵,박좌운,9
0x000D64B7,珥跏鴆,이가짐,9
0x000D671F,珥跏鴆,이가짐,9
0x000D68BA,珀蓙鴆,박좌짐,9
0x000D6B22,珥粫鴆,이이짐,9
0x000D6F25,珥跏鴆,이가짐,9
0x000D73F5,珀跏韵,박가운,9
0x000D7AFF,尠薄屐,선박극,9
0x000D7F00,撓葡獄,요포옥,9
0x000D9876,沱悍囹劍末封粕惆,원문 깨짐(해독 불가),28
0x000D9C4A,攪盗貯,미상,6
0x000DA9D9,沺棍棔,미상,6
0x000DB05C,泝濫聡詩誌蒼繭洟,원문 깨짐(해독 불가),28
0x000DB1F5,攪葡錘轟克崇蕗擇,원문 깨짐(해독 불가),28
0x000DB2C3,撕亦錘詩誌蒼繭洟,원문 깨짐(해독 불가),28
0x000DB38F,泅俣随轟訣書迫屏,원문 깨짐(해독 불가),28
0x000DB45D,椢欄聡詩試崇蕗擇,원문 깨짐(해독 불가),28
0x000DB52A,恫白庶轟克崇蕗椒,원문 깨짐(해독 불가),28
0x000DB851,蓙聳胚,미상,6
0x000DE4CE,尸囃浤,미상,6
0x000DF917,蒹珎頽,미상,6
0x000DFB7F,鱆銕裄,미상,6
0x000E0BC0,矮葢跪,미상,6
0x000E12CD,鱚琅銕,미상,6
0x000E2BD7,鱚聽聽,미상,6
0x000E37A4,肅聟聟,미상,6
0x000E3E76,聽聽肓,미상,6
0x000E4072,鰄肅胚,미상,6
0x000E40A6,獺聰脯,미상,6
0x000E4695,鈬聽聽,미상,6
0x000E4EBC,鈬聳胱,미상,6
0x000E4EEF,鱚鈬肭,미상,6
0x000E51C0,肅聽釡,미상,6
0x000E51F3,鱚珈璢,미상,6
0x000E5997,肓聳胙,미상,6
0x000E5E8F,鰰鴉獎,미상,6
0x000E8465,鞣矗蔗,원문 깨짐,13
0x000E9124,戟÷淋,원문 깨짐,13
0x000E9B00,о椛伴,원문 깨짐,13
0x000E9B4C,捩ｊ理,원문 깨짐,13
0x000E9E02,籵鈑跋,원문 깨짐,13
0x000EB0D2,鞏裨籖,원문 깨짐,13
0x000EB19E,竟蒹趾,원문 깨짐,13
0x000EB2D2,鳧跚赱,원문 깨짐,13
0x000EB46C,跋蒿韆,원문 깨짐,13
0x000EB56D,鴈矣鱠,원문 깨짐,13
0x000EB66E,韃璢鈞,원문 깨짐,13
0x000EB6A1,鉉粤釿,원문 깨짐,13
0x000EB76E,裴粃鈑,원문 깨짐,13
0x000EC1D1,鉋鱠鈑,원문 깨짐,13
0x000EC204,竟趺鞴,원문 깨짐,13
0x000EFC47,趁矮蓚,번역 불가(원문 손상),28
0x000F208F,齏韜聘,번역 불가(원문 손상),28
0x000F2251,鱚袢裄,번역 불가(원문 손상),28
0x000F2320,鞐獨聨,번역 불가(원문 손상),28
0x000F3522,鵁裄礦,번역 불가(원문 손상),28
0x000F3927,裴籖萵,번역 불가(원문 손상),28
0x000F3B10,韜琅袁,번역,
0x000F3C55,鴈聰蓊,정찰 부대,13
0x000F3D9A,竟赳珀,돌0x000F3C55,鴈0x000F3EDF
0x000F3EDF,鴆鞳籥,원문 깨짐,13
0x000F4241,蕪搭槧,파괴 공작,13
0x000F43E1,蓚粐赳,은밀 진격,13
0x000F4881,泅棟倦,수로 봉쇄,13
0x000F4DAF,粭趾銜,진지 점령,13
0x000F7E17,譫棘擺,가시 방벽,13
0x000F8288,簔靜躓,정예 돌파,13
0x000FD2D8,鰲珥礪,중갑 강화,13
0x000FD9D0,憤莫榁,분노의 진격,16
0x000FE15B,蓁鱠籘,전열 재편,13
0x000FEB57,嶋葬滔,섬멸 작전,13
0x000FEBB2,紫増朕,해독 불가,13
0x000FED1F,椦悃墫,해독 불가,13
0x000FF259,蟒簓跣,해독 불가,13
0x000FF3C2,簟飜褫,해독 불가,13
0x000FFABE,襃韈蔔,해독 불가,13
0x000FFFE6,跚蓖踝,해독 불가,13
0x000x00257C24,｛“∪,판독 불가,0x00257B5C
0x000x00A1E768,このファクトリーは,이 팩토리는,16
0x000x00A29F64,サクテキ時には、敵ユニッ,색적 시에는 적 유0x00A29F64,サクテキ時には、敵ユニッ
0x000x00A2A6E9,攻撃力が上がり、,"공격력이 올라가고,",26
0x000x00A2BAD7,世界中からハチの,전 세계에서 벌의,23
0x000x00A2D12C,ロケットミサキ,로켓 곶,10
0x000x00A2D704,ミサイル島争奪戦！,미사일 섬 쟁탈전!,24
0x000x00A30182,本気でいくわよ！,진심으로 갈게요!,23
0x000x00A34E7F,これ以上生産できません,더 이상,
0x000x00D9396E,でも　このポンコツ戦車を使えるように,하지만 이 고물 전차를 쓸 수 있게,45
0x000x00D99A61,ほどのダメージ,정도의 피해,16
0x000x00D9EF52,に　移動経路（いどうけいろ）をかえるのよ！,이동 경로를 바꾸는 거야!,34
0x000x00DA067B,ユニットの名前のとなりの数字が　ねだんなの。,유닛 이름 옆의 숫자가 가격이야.,44
0x000x00DA280D,をつかんでくれるかしら？,잡아 줄 수 있을까?,25
0x000x00DC3F0E,そうだけど・・・だれだ？,그렇긴 한데... 누구냐?,30
0x000x00DC5B40,られるのは　わがはいをおいてほかにあるまい！,낼 수 있는 건 나 말고는 없을 것이다!,0x00DC5C56
0x000x00DCE972,ショーグンブレイクを使われるまでに　どれだけ,쇼군 브레이크를 쓰기 전까지 얼마나,49
0x000x00DEE9DE,キャノン砲の弾数。,캐논포의 탄수.,20
0x000x00DEF2BF,なくなるとツイラク。,없어지면 추락.,20
0x000x00DF2623,負けないでね！,지지 마!,11
0x000x00DF762A,さあ、出撃よ！,"자, 출격이야!",18
0x000x00DFF872,れいの地に現れた！,문제의 땅에 나타났다!,30
0x000x00DFFA65,性格にこそ問題はあるが、射撃のウデなら,"성격에야 문제가 있지만, 사격 실력만큼은",56
0x000x00E0412A,ああ、いっしょにがんばろう！ドミノ！,"그래, 함께 힘내자! 도미노!",36
0x00100B70,脛葩蒡,해독 불가,13
0x00100C33,萬靨蓿,해독 불가,13
0x00100D2C,肚跪腋,해독 불가,13
0x001016B9,鈑蓁碎,해독 불가,13
0x00101C36,蔘籬蓆,해독 불가,13
0x001028BE,趺裘跖,해독 불가,13
0x00104284,聒肓粨,해독 불가,13
0x00104BEF,耡鞴趙,해독 불가,13
0x00105FB3,磑釵褓,해독 불가,13
0x001063E6,蔬袗聘,해독 불가,13
0x0010674F,褌韋鰤,해독 불가,13
0x00106900,粤鱠瞽,해독 불가,13
0x00106C70,聽矮跼,해독 불가,13
0x00107F93,鈞鞳礦,해독 불가,13
0x00108A29,憧蓊猾,동옹활,9
0x00108F67,籟琅裘,뇌랑구,9
0x00109187,頌珥贇,송이윤,9
0x001096CC,卆鰡跂,졸유기,9
0x00109B5C,蒄肅聆,관숙영,9
0x0010A398,聹蓊聘,녕옹빙,9
0x0010A6FE,韜葢耨,도개누,9
0x0010AB88,褪釶肆,퇴이사,9
0x0010AD10,簪釉襌,잠유단,9
0x0010B44D,鵆獰赱,물떼새영주,15
0x0010BC70,嵐視援演給藷蕗擅,원문 깨짐(해독 불가),28
0x0010BFCE,恂綜糾滑去蒼沫圈,원문 깨짐(해독 불가),28
0x0010C07C,恬衷麹濠刻樗吏悖,원문 깨짐(해독 불가),28
0x0010C3DD,棘蕪酔血血涛蕗屓,원문 깨짐(해독 불가),28
0x0010C48A,撕撫渚麹刻涛蕗據,원문 깨짐(해독 불가),28
0x0010C5E4,悁俣緒緒緒当繭悖,원문 깨짐(해독 불가),28
0x0010C7ED,尢柏瑞数数粕覧椶,원문 깨짐(해독 불가),28
0x0010C9F3,椦覧粕粕瑞粕李椶,원문 깨짐(해독 불가),28
0x0010CAA1,泅欄涛盗涛欄履泯,원문 깨짐(해독 불가),28
0x0010E5D0,翊盗服,익도복,9
0x0010E766,粃鳰鈞,비니오균,12
